1000 0.500000
0
1
0
Filter @ 0x10a8010
- filter -
size:  1000
error: 0.500000
- bloom -
bit_size:   1443
bit/entry:  1.443000
byte_size:  181
hash_num:   1
entries:    1
40010102 36801 38
50000004 35485 39
40010308 35023 40
40010612 34865 41
40010334 34450 42
40010648 33704 42
50000060 32715 38
40010330 32271 39
50000028 31649 40
40010627 31255 41
40010327 31225 42
50000024 30303 43
40010249 29874 43
50000011 29433 39
40010200 28343 40
40010274 27658 41
10040004 27221 42
30020004 26995 43
40010335 26981 44
30020008 26813 44
40010224 26791 40
30020012 26738 41
40010075 25906 42
40010329 25652 43
40010264 24225 44
40010647 24107 44
40010630 23217 41
40010646 22480 42
50000023 22180 43
40010296 21773 44
40010360 20924 45
40010035 20883 45
40010202 20752 42
40010345 20376 43
40010363 20291 44
40010282 19294 45
90000005 18409 46
40010645 18302 46
40010244 18198 43
40010386 17924 44
40010321 17760 45
40010189 16924 46
50000072 16851 46
40010340 15877 44
40010219 15821 45
40010385 14720 46
40010306 14614 47
50000040 14186 47
40010190 13973 45
40010534 13391 46
30020013 13357 47
50000010 12973 48
40010309 12961 48
40010409 12569 46
40010310 12423 47
50000140 12333 48
10060002 11709 49
40010313 11676 49
40010194 10973 47
40010243 10881 48
40010410 10610 49
40010173 10597 49
40010315 10480 48
40010220 10104 49
40010175 9938 50
50000035 8977 50
40010197 8785 49
40010084 8344 50
40010063 8129 51
40010613 7933 51
40010076 7857 50
40010366 7497 51
40010633 7466 52
40010231 6796 52
40010285 6615 51
40010407 6084 52
40010081 6029 53
40010281 5899 53
40010370 5754 52
30020017 5146 53
40010204 5143 53
40010278 5011 53
40010305 4820 54
40010623 4761 54
40010196 4744 54
40010147 4499 55
40010398 4317 55
40010277 4261 55
40010332 4091 56
40010221 4007 56
30020006 3830 56
40010248 3774 57
40010169 3521 57
40010215 3513 57
40010218 3233 58
40010483 3094 58
40010614 2688 58
50000136 2603 58
40010036 2458 59
40010570 2173 59
40010392 2161 60
40010617 2031 60
40010504 2014 61
40010104 2007 61
40010323 1794 62
40010203 1699 62
40010201 1644 63
40010227 1624 63
40010252 1435 64
40010280 1408 64
40010145 1353 65
40010618 1266 65
40010316 1196 66
30040005 1196 66
30020009 967 67
40010642 889 67
40010304 871 67
50000075 756 68
40010149 702 69
40010195 651 70
40010371 598 71
40010240 572 72
40010368 554 73
50000043 430 74
40010388 374 75
40010198 354 76
40010383 262 77
40010260 180 78
40010344 171 79
40010259 121 80
10070001 98 81
40010531 85 82
40010381 75 83
10070013 53 84
40010222 40 85
50000074 38 86
40010643 31 87
40010650 29 88
40010286 29 89
40010311 18 90
40010374 17 91
40010364 13 92
40010247 13 93
40010373 10 94
40010312 9 95
40010384 5 96
40010325 4 97
40010393 3 98
40010361 3 99
50000061 2 100
40010387 2 101
40010336 2 102
40010375 1 103
40010367 1 104
40010343 1 104
20010031 1048135778 3
40010420 951700908 4
20010006 891072920 4
20010036 584809255 4
20010017 508515914 5
40010624 407428647 5
20010024 340269138 5
20010001 338810315 5
40010108 338702986 6
40010357 295475976 6
40010287 263103874 7
40010377 247607159 7
20010038 195408440 8
20010027 167651399 8
40010162 147082518 9
40010079 137727923 9
20010026 134761597 10
40010062 130261583 10
40010526 112251997 11
40010595 107284911 11
20010013 94492362 12
20010028 91824133 12
20010021 88804249 12
40010597 84707788 13
20010018 80968054 14
20010011 79254991 15
40010293 70612606 16
40010511 70305169 17
40010436 66818274 18
20010032 66632530 19
20010014 64518011 20
40010353 63951728 21
40010565 63245970 22
20010008 62322856 23
30030010 62047640 24
40010152 60704799 25
40010463 59103240 26
40010598 56291634 27
30030005 55747898 28
40010596 55672941 29
20010025 55455000 30
40010412 54897380 31
40010460 54048870 32
50000079 52998258 33
50000058 50837348 34
40010528 49587863 35
40010105 48214175 36
50000086 45080588 37
20010019 44597999 38
40010136 43948248 39
40010527 43911696 40
50000081 41477547 41
40010604 41117746 42
40010369 38586246 42
40010446 38415097 4
40010021 37849166 5
40010478 37044787 5
40010181 37043935 5
40010622 36905953 5
40010423 36621250 6
40010126 36609093 6
30030015 36523343 7
40010355 35357438 7
50000064 35243722 8
50000000 34483491 8
40010139 34260158 9
40010538 34189158 9
40010352 33986764 10
40010472 33606238 10
20010029 32091641 11
10010002 32060072 11
40010402 31110003 11
40010164 30447591 12
50000078 29856900 13
40010161 29381004 14
40010571 28802684 15
50000080 28196918 16
40010556 28050788 17
30030006 27953563 18
40010131 27122752 19
20010034 27080772 20
20010012 26537543 21
50000082 26247069 22
50000065 26101847 23
20010040 24774227 24
20010007 24531721 25
40010155 24433077 26
20010005 23736609 27
40010256 23594049 28
40010133 23124212 29
40010127 23118465 30
40010271 23110554 31
30030011 22913960 32
50000085 22808851 33
40010153 22304606 34
50000134 21943596 35
40010124 20781804 36
40010421 20661871 37
40010101 20559866 38
40010566 20546652 39
40010567 20282882 40
20010039 20085745 41
40010490 19029126 42
40010118 18871715 42
40010130 18736244 5
40010422 18579611 5
50000118 18552823 6
40010163 17875704 6
40010159 17583258 7
20010002 17344997 7
50000138 17334344 8
40010437 17306828 8
40010142 17027323 9
40010512 16917053 9
50000084 16876790 10
50000090 16502094 10
40010120 16103982 11
30030001 15948118 11
40010513 15913773 11
40010464 15568120 12
40010141 15536090 13
40010466 15500377 14
40010234 15393832 15
50000083 15126047 16
50000088 15054895 17
40010144 14522708 18
30020007 14418600 19
40010122 14290404 20
40010065 14272447 21
40010439 14146042 22
20010037 13951982 23
50000122 13915255 24
40010379 13804843 25
40010128 13545502 26
50000067 13344577 27
40010237 13302749 28
40010129 13301973 29
40010156 13224816 30
40010258 13195532 31
40010112 12974702 32
50000099 12885908 33
40010113 12542579 34
50000105 12527980 35
40010009 12030292 36
50000137 11996578 37
30040002 11894771 38
50000121 11688686 39
40010491 11616309 40
40040001 11447628 41
40010454 11425887 42
50000062 11292199 42
40010427 11176401 6
40010433 11162937 6
40010499 10891782 7
40010473 10795076 7
40010236 10772582 8
40010532 10665805 8
50000093 10498783 9
40010574 10151157 9
50000111 10130387 10
40010110 9997409 10
40010438 9984621 11
40010605 9962632 11
40010413 9849696 11
50000066 9839668 12
40010541 9732000 13
40010114 9589984 14
40010479 9540908 15
40010492 9248637 16
40010303 8900124 17
50000142 8865582 18
40010592 8811326 19
40010577 8778028 20
40010474 8777440 21
50000119 8761168 22
40010502 8756706 23
40010457 8692882 24
50000117 8571610 25
40010465 8453840 26
50000103 8234860 27
40010140 8209447 28
40010599 8085882 29
50000126 8017759 30
30030017 8010867 31
20010010 7932846 32
40010099 7877703 33
40010586 7701534 34
40010289 7540045 35
40010467 7496973 36
40010481 7376337 37
40010583 7275535 38
40010451 7258814 39
40010440 6889226 40
40010505 6847733 41
40010607 6636862 41
40010044 6590383 7
40010154 6580117 7
30030016 6344714 8
40010517 6200869 8
40010086 6129148 9
40010265 6084301 9
10010001 6046232 10
40010553 6030597 10
40010580 5904735 11
40010606 5825488 11
40010514 5675591 11
40010057 5671929 12
40010441 5662056 13
30030009 5615660 14
40010109 5587601 15
40010125 5545373 16
40010324 5425027 17
20010035 5422873 18
40010523 5277891 19
40010535 5261928 20
40010533 5141148 21
40010183 5003452 22
40010137 4992943 23
40010288 4942952 24
40010180 4918290 25
40010468 4844903 26
40010165 4792797 27
40010496 4781471 28
30030008 4775461 29
40010487 4723644 30
40010445 4713417 31
40010117 4683661 32
40010461 4628269 33
50000102 4469931 34
40010572 4450083 35
50000077 4440647 36
50000139 4405669 37
50000063 4404717 38
40010238 4338788 39
40010350 4270209 40
50000100 4265106 41
40010628 4186115 41
40010262 4169098 8
40010508 4162414 8
40010032 4144415 9
40010559 4101896 9
40010475 4070286 10
50000123 4051813 10
50000068 3974571 10
40010176 3915993 11
50000114 3912287 12
40010253 3895770 13
40010041 3887482 14
40010242 3804364 15
30030013 3758535 16
40010255 3739656 17
50000133 3697316 18
20010022 3689038 19
40010241 3683926 20
40010543 3665363 21
50000132 3639621 22
40010469 3609840 23
50000113 3585370 24
40010029 3531707 25
40010529 3513145 26
40010061 3494022 27
40010455 3484392 28
40010014 3456046 29
20010020 3443186 30
40010107 3383540 31
40010448 3353976 32
40010542 3310096 33
40010557 3294467 34
40010146 3283364 35
40010038 3230968 36
40010132 3185053 37
40010160 3182018 38
40010584 3163284 39
30040003 3133503 40
40010550 3112085 41
40010600 3094152 41
40010587 3057958 9
40010003 3002901 9
30030014 2954792 10
40010480 2951838 10
10070007 2949647 10
40010588 2940887 11
40010520 2919559 12
40010157 2908175 13
40010562 2881315 14
40010503 2880146 15
40010300 2863372 16
40010578 2839330 17
40010547 2832369 18
40010601 2829768 19
10020009 2816696 20
40010090 2812005 21
10070008 2776693 22
40010292 2736406 23
40010482 2733401 24
50000025 2719435 25
30030004 2719009 26
40010424 2715290 27
10020008 2680475 28
40010493 2678467 29
50000095 2572371 30
10020005 2543541 31
40010568 2526207 32
50000047 2514697 33
40010589 2485317 34
10020006 2478806 35
40010544 2470520 36
40010034 2459530 37
40010096 2446069 38
40010585 2430635 39
50000012 2425063 40
40010442 2420305 41
40010518 2400046 41
50000005 2379651 10
40010005 2370480 10
10060001 2344863 10
40010291 2337145 11
10020003 2256867 12
40010066 2228992 13
50000106 2223391 14
40010058 2105396 15
10030009 2099860 16
40010430 2093841 17
40010093 2083295 18
40010500 2063397 19
40010184 2036932 20
50000110 2006062 21
50000109 1976170 22
50000098 1961227 23
10030008 1959846 24
40010039 1958174 25
40010085 1947935 26
50000125 1933396 27
40010434 1928100 28
40010506 1923009 29
40010558 1920859 30
40010575 1919932 31
10070019 1911743 32
10020004 1910613 33
10020007 1879346 34
50000135 1853118 35
40010458 1829304 36
40010507 1827025 37
40010100 1808885 38
50000131 1756317 39
40010268 1741200 40
40010462 1732958 41
10030006 1726609 41
40010088 1711194 10
40010484 1710068 11
40010619 1676225 12
40010581 1670847 13
40040007 1646959 14
40010089 1637042 15
40010103 1620041 16
40010148 1613404 17
40010428 1579560 18
50000096 1573347 19
40010579 1520251 20
40010539 1508889 21
20010015 1492999 22
40010182 1484320 23
20010033 1469244 24
10030005 1451627 25
40010012 1450527 26
90000057 1424853 27
40010228 1403267 28
40010078 1388974 29
10030007 1380811 30
40010394 1375944 31
40010608 1373189 32
40010028 1361440 33
10030003 1345303 34
40010059 1344517 35
50000044 1343689 36
40010098 1332032 37
50000021 1299522 38
50000034 1260340 39
50000094 1250964 40
40010515 1244384 41
50000027 1230819 41
40010536 1200325 11
40010470 1199986 12
40010179 1177340 13
40010401 1176245 14
40010582 1170062 15
40010077 1166221 16
40010004 1145627 17
40010080 1138488 18
40010269 1132689 19
40010620 1128390 20
40010346 1124032 21
10070011 1106810 22
40010348 1097774 23
10030014 1091914 24
40010593 1081734 25
40010010 1073179 26
40010498 1072122 27
40010449 1054597 28
50000141 1052018 29
30040001 1045605 30
10050003 1040947 31
40010301 1034133 32
40010459 1033122 33
10070006 1025419 34
10070020 1016871 35
40010095 1013664 36
40010554 1012807 37
30030002 1007321 38
50000006 1006992 39
10030004 989588 40
40010115 972835 40
50000030 970828 12
10070018 965095 13
10040001 947355 14
90000006 936499 15
40010158 936410 16
40010551 929480 17
40010456 922996 18
10030013 921025 19
10030012 911562 20
40010273 909282 21
50000092 903872 22
50000033 898218 23
50000108 895583 24
10070009 892521 25
40010488 886752 26
40010563 884427 27
40010024 872522 28
40010476 870460 29
40010207 870150 30
40010429 861475 31
50000003 858136 32
40010638 858002 33
40010497 850438 34
40010020 849761 35
10070010 835695 36
50000020 831169 37
40010206 829440 38
40010351 807185 39
40010042 805138 39
50000008 795482 13
50000026 788355 14
40010134 788051 15
40010447 783994 16
40010045 782562 17
40010524 775488 18
40010452 772799 19
40010116 767416 20
50000053 753307 21
10030015 752197 22
40010094 746958 23
40010501 746075 24
40010208 737940 25
10030017 720629 26
40010091 720601 27
40010378 719091 28
40010056 718874 29
40010067 717866 30
40010485 717006 31
10030018 716836 32
10070004 713169 33
40010284 705858 34
40040006 705000 35
50000037 704506 36
40010087 702422 37
10040002 700028 38
50000017 697754 38
50000019 689735 14
40010609 688939 15
40010151 686321 16
40010290 675434 17
40010644 664297 18
40040008 662402 19
40010064 662255 20
40010443 655785 21
50000009 641751 22
40010017 640319 23
40040002 634344 24
50000002 633900 25
40010425 628343 26
10020002 627783 27
40010171 626975 28
40010509 625554 29
40010055 625552 30
40010302 611361 31
40010193 603730 32
10070005 599887 33
40010602 587297 34
40010257 584490 35
40010521 579463 36
40010548 578668 37
40010560 572538 37
40010576 570963 15
40010263 566444 16
40010135 558817 17
50000104 556977 18
40010037 553913 19
40010537 549317 20
40010621 544545 21
40010082 538270 22
40010054 538257 23
40010486 535650 24
50000128 535284 25
40010564 534578 26
40010267 532477 27
40040003 532361 28
40010106 522328 29
40010626 518967 30
50000107 518658 31
40010166 512597 32
10050002 503310 33
40010043 502633 34
10030016 498535 35
40010030 492720 36
40010590 491512 37
40010594 482986 37
40010083 473908 16
40010530 472818 17
40010636 471926 18
40010522 470748 19
40040004 468254 20
30020003 467762 21
10030002 466475 22
40040009 463484 23
40010008 457643 24
30040007 457174 25
40010119 451247 26
50000089 449983 27
20010009 443451 28
40010573 442677 29
50000032 437549 30
40010471 436098 31
40010276 435780 32
40010358 433267 33
40010453 433076 34
10070017 430962 35
40010395 425640 36
50000115 424696 36
40010168 416264 17
40010333 413390 18
50000087 413297 19
40010540 412581 20
90000002 405444 21
40010019 397931 22
40010123 395447 23
50000022 395425 24
40010046 390181 25
50000007 386264 26
40010328 385655 27
40010022 384383 28
50000097 384265 29
40010555 383768 30
50000112 379528 31
40010233 373847 32
50000071 369088 33
40010073 368924 34
40010072 368924 35
40010071 368924 36
10070023 356950 36
40010641 356737 18
40010040 353687 19
30040006 346872 20
40010272 342759 21
50000076 340652 22
40010396 334101 23
40010415 333645 24
10070021 333587 25
40010074 331129 26
10070012 326215 27
40010172 322166 28
40010610 320761 29
40010210 314953 30
40040005 312381 31
40010229 311142 32
50000124 306843 33
40010419 301877 34
40010251 301490 35
40040010 299600 36
10070022 299167 36
40010569 287759 19
40010494 286102 20
40010489 283584 21
40010603 280156 22
40010408 278647 23
10070016 276126 24
30020010 275588 25
40010060 274622 26
40010405 271160 27
50000127 270064 28
30020018 268901 29
40010205 266487 30
30040004 264682 31
50000039 263922 32
40010552 262581 33
40010359 260423 34
40010097 260211 35
40010239 260203 36
50000018 255771 36
40010191 254210 20
40010320 251151 21
90000003 248889 22
40040012 246899 23
40010025 242854 24
40010015 240731 25
40010545 239884 26
40010426 237044 27
40010070 232511 28
40010018 231127 29
50000116 227123 30
40040011 225251 31
40010023 225116 32
40010431 222452 33
40010400 216739 34
40010637 213882 35
20010016 212746 36
40010399 209732 36
10040003 209237 21
40010347 205610 22
40010307 203468 23
50000016 200802 24
40010033 199584 25
40010411 199300 26
40010525 197244 27
40010362 195049 28
40010026 194908 29
40010349 194805 30
10070003 194063 31
40010611 193776 32
20010023 193613 33
40010266 193034 34
40010450 192458 35
30020014 189534 35
40010549 187074 22
10020001 185726 23
40010561 184544 24
50000091 181753 25
40010121 181093 26
50000041 180568 27
40010403 180313 28
40010294 179561 29
40010092 177544 30
40010510 173865 31
40010011 173323 32
40010250 171865 33
40010235 170560 34
40010178 169130 35
40010254 163638 36
40010444 161763 36
10030011 161308 23
40010295 159593 24
50000029 159245 25
40010337 154967 26
40010261 154496 27
50000038 154032 28
40010007 151360 29
40010414 146965 30
40010631 146201 31
30020015 143584 32
40010138 143058 33
40010270 142845 34
40010319 141578 35
50000015 138321 36
40010209 136082 36
30020019 134853 24
40010177 134142 25
40010167 133255 26
40010232 133157 27
40010225 132257 28
50000013 128787 29
40010418 127666 30
50000059 125229 31
10070024 124707 32
40010299 123918 33
10030001 123302 34
10070002 123004 35
90000004 121804 36
40010245 121272 36
50000031 119588 25
40010246 117064 26
40010016 114256 27
40010226 114207 28
40010174 113611 29
40010006 113153 30
50000120 110664 31
40010013 110628 32
40010326 109135 33
40010111 106377 34
40010331 106258 35
40010629 104108 36
40010432 103885 36
40010188 103652 26
40010275 102626 27
40010417 102110 28
40010185 97212 29
40010416 93971 30
50000014 92359 31
40010199 92203 32
40010495 92051 33
40010298 92003 34
40010591 91606 35
40010279 91517 36
40010230 89552 36
40010477 87116 27
40010212 84787 28
40010649 83791 29
50000001 83201 30
30020011 83015 31
40010216 82784 32
40010214 75320 33
40010143 72725 34
40010069 71855 35
40010615 71494 36
40010546 68886 36
40010516 68485 28
40010435 67912 29
40010186 67535 30
50000101 67483 31
10030010 62424 32
10070014 62198 33
40010192 61758 34
10070015 58798 35
40010397 58605 36
40010519 56081 37
40010213 54397 37
40010283 54165 29
40010404 53175 30
40010187 52369 31
40010297 51113 32
40010632 50703 33
40010068 48582 34
40010616 48484 35
50000042 48328 36
40010217 48018 37
40010625 46996 37
50000130 46794 30
50000070 45619 31
40010634 45020 32
50000036 44382 33
40010406 44219 34
40010322 41336 35
40010223 41070 36
40010150 40597 37
40010635 38552 37
40010341 37605 31
40010102 36801 32
50000004 35485 33
40010308 35023 34
40010612 34865 35
40010334 34450 36
40010648 33704 37
50000060 32715 38
40010330 32271 38
50000028 31649 32
40010627 31255 33
40010327 31225 34
50000024 30303 35
40010249 29874 36
50000011 29433 37
40010200 28343 38
40010274 27658 38
10040004 27221 33
30020004 26995 34
40010335 26981 35
30020008 26813 36
40010224 26791 37
30020012 26738 38
40010075 25906 39
40010329 25652 39
40010264 24225 34
40010647 24107 35
40010630 23217 36
40010646 22480 37
50000023 22180 38
40010296 21773 39
40010360 20924 39
40010035 20883 35
40010202 20752 36
40010345 20376 37
40010363 20291 38
40010282 19294 39
90000005 18409 40
40010645 18302 40
40010244 18198 36
40010386 17924 37
40010321 17760 38
40010189 16924 39
50000072 16851 40
40010340 15877 41
40010219 15821 41
40010385 14720 37
40010306 14614 38
50000040 14186 39
40010190 13973 40
40010534 13391 41
30020013 13357 41
50000010 12973 38
40010309 12961 39
40010409 12569 40
40010310 12423 41
50000140 12333 42
10060002 11709 42
40010313 11676 39
40010194 10973 40
40010243 10881 41
40010410 10610 42
40010173 10597 42
40010315 10480 40
40010220 10104 41
40010175 9938 42
50000035 8977 43
40010197 8785 43
40010084 8344 41
40010063 8129 42
40010613 7933 43
40010076 7857 44
40010366 7497 44
40010633 7466 42
40010231 6796 43
40010285 6615 44
40010407 6084 44
40010081 6029 43
40010281 5899 44
40010370 5754 45
30020017 5146 45
40010204 5143 44
40010278 5011 45
40010305 4820 46
40010623 4761 46
40010196 4744 45
40010147 4499 46
40010398 4317 47
40010277 4261 47
40010332 4091 46
40010221 4007 47
30020006 3830 48
40010248 3774 48
40010169 3521 47
40010215 3513 48
40010218 3233 48
40010483 3094 48
40010614 2688 49
50000136 2603 49
40010036 2458 49
40010570 2173 50
40010392 2161 50
40010617 2031 50
40010504 2014 51
40010104 2007 51
40010323 1794 51
40010203 1699 52
40010201 1644 52
40010227 1624 52
40010252 1435 52
40010280 1408 53
40010145 1353 53
40010618 1266 54
40010316 1196 54
30040005 1196 55
30020009 967 55
40010642 889 56
40010304 871 56
50000075 756 57
40010149 702 57
40010195 651 58
40010371 598 58
40010240 572 59
40010368 554 59
50000043 430 59
40010388 374 60
40010198 354 61
40010383 262 62
40010260 180 63
40010344 171 64
40010259 121 65
10070001 98 66
40010531 85 67
40010381 75 68
10070013 53 69
40010222 40 70
50000074 38 71
40010643 31 72
40010650 29 73
40010286 29 74
40010311 18 75
40010374 17 76
40010364 13 77
40010247 13 78
40010373 10 79
40010312 9 80
40010384 5 81
40010325 4 82
40010393 3 83
40010361 3 84
50000061 2 85
40010387 2 86
40010336 2 87
40010375 1 88
40010367 1 89
40010343 1 89
20010031 1048135778 3
40010420 951700908 4
20010006 891072920 5
20010036 584809255 5
20010017 508515914 4
40010624 407428647 5
20010024 340269138 6
20010001 338810315 6
40010108 338702986 5
40010357 295475976 6
40010287 263103874 6
40010377 247607159 6
20010038 195408440 7
20010027 167651399 7
40010162 147082518 7
40010079 137727923 8
20010026 134761597 8
40010062 130261583 8
40010526 112251997 9
40010595 107284911 9
20010013 94492362 9
20010028 91824133 10
20010021 88804249 10
40010597 84707788 10
20010018 80968054 10
20010011 79254991 11
40010293 70612606 11
40010511 70305169 12
40010436 66818274 12
20010032 66632530 13
20010014 64518011 13
40010353 63951728 14
40010565 63245970 14
20010008 62322856 15
30030010 62047640 15
40010152 60704799 15
40010463 59103240 16
40010598 56291634 17
30030005 55747898 18
40010596 55672941 19
20010025 55455000 20
40010412 54897380 21
40010460 54048870 22
50000079 52998258 23
50000058 50837348 24
40010528 49587863 25
40010105 48214175 26
50000086 45080588 27
20010019 44597999 28
40010136 43948248 29
40010527 43911696 30
50000081 41477547 31
40010604 41117746 32
40010369 38586246 33
40010446 38415097 34
40010021 37849166 35
40010478 37044787 36
40010181 37043935 37
40010622 36905953 38
40010423 36621250 39
40010126 36609093 40
30030015 36523343 41
40010355 35357438 41
50000064 35243722 4
50000000 34483491 5
40010139 34260158 6
40010538 34189158 6
40010352 33986764 5
40010472 33606238 6
20010029 32091641 6
10010002 32060072 6
40010402 31110003 7
40010164 30447591 7
50000078 29856900 7
40010161 29381004 8
40010571 28802684 8
50000080 28196918 8
40010556 28050788 9
30030006 27953563 9
40010131 27122752 9
20010034 27080772 9
20010012 26537543 10
50000082 26247069 10
50000065 26101847 11
20010040 24774227 11
20010007 24531721 12
40010155 24433077 12
20010005 23736609 13
40010256 23594049 13
40010133 23124212 14
40010127 23118465 14
40010271 23110554 15
30030011 22913960 15
50000085 22808851 15
40010153 22304606 16
50000134 21943596 17
40010124 20781804 18
40010421 20661871 19
40010101 20559866 20
40010566 20546652 21
40010567 20282882 22
20010039 20085745 23
40010490 19029126 24
40010118 18871715 25
40010130 18736244 26
40010422 18579611 27
50000118 18552823 28
40010163 17875704 29
40010159 17583258 30
20010002 17344997 31
50000138 17334344 32
40010437 17306828 33
40010142 17027323 34
40010512 16917053 35
50000084 16876790 36
50000090 16502094 37
40010120 16103982 38
30030001 15948118 39
40010513 15913773 40
40010464 15568120 41
40010141 15536090 41
40010466 15500377 5
40010234 15393832 6
50000083 15126047 6
50000088 15054895 6
40010144 14522708 7
30020007 14418600 7
40010122 14290404 7
40010065 14272447 8
40010439 14146042 8
20010037 13951982 8
50000122 13915255 9
40010379 13804843 9
40010128 13545502 9
50000067 13344577 9
40010237 13302749 10
40010129 13301973 10
40010156 13224816 11
40010258 13195532 11
40010112 12974702 12
50000099 12885908 12
40010113 12542579 13
50000105 12527980 13
40010009 12030292 14
50000137 11996578 14
30040002 11894771 15
50000121 11688686 15
40010491 11616309 15
40040001 11447628 16
40010454 11425887 17
50000062 11292199 18
40010427 11176401 19
40010433 11162937 20
40010499 10891782 21
40010473 10795076 22
40010236 10772582 23
40010532 10665805 24
50000093 10498783 25
40010574 10151157 26
50000111 10130387 27
40010110 9997409 28
40010438 9984621 29
40010605 9962632 30
40010413 9849696 31
50000066 9839668 32
40010541 9732000 33
40010114 9589984 34
40010479 9540908 35
40010492 9248637 36
40010303 8900124 37
50000142 8865582 38
40010592 8811326 39
40010577 8778028 40
40010474 8777440 41
50000119 8761168 41
40010502 8756706 6
40010457 8692882 7
50000117 8571610 7
40010465 8453840 7
50000103 8234860 8
40010140 8209447 8
40010599 8085882 8
50000126 8017759 9
30030017 8010867 9
20010010 7932846 9
40010099 7877703 9
40010586 7701534 10
40010289 7540045 10
40010467 7496973 11
40010481 7376337 11
40010583 7275535 12
40010451 7258814 12
40010440 6889226 13
40010505 6847733 13
40010607 6636862 14
40010044 6590383 14
40010154 6580117 15
30030016 6344714 15
40010517 6200869 15
40010086 6129148 16
40010265 6084301 17
10010001 6046232 18
40010553 6030597 19
40010580 5904735 20
40010606 5825488 21
40010514 5675591 22
40010057 5671929 23
40010441 5662056 24
30030009 5615660 25
40010109 5587601 26
40010125 5545373 27
40010324 5425027 28
20010035 5422873 29
40010523 5277891 30
40010535 5261928 31
40010533 5141148 32
40010183 5003452 33
40010137 4992943 34
40010288 4942952 35
40010180 4918290 36
40010468 4844903 37
40010165 4792797 38
40010496 4781471 39
30030008 4775461 40
40010487 4723644 40
40010445 4713417 7
40010117 4683661 8
40010461 4628269 8
50000102 4469931 8
40010572 4450083 9
50000077 4440647 9
50000139 4405669 9
50000063 4404717 9
40010238 4338788 10
40010350 4270209 10
50000100 4265106 11
40010628 4186115 11
40010262 4169098 12
40010508 4162414 12
40010032 4144415 13
40010559 4101896 13
40010475 4070286 14
50000123 4051813 14
50000068 3974571 15
40010176 3915993 15
50000114 3912287 15
40010253 3895770 16
40010041 3887482 17
40010242 3804364 18
30030013 3758535 19
40010255 3739656 20
50000133 3697316 21
20010022 3689038 22
40010241 3683926 23
40010543 3665363 24
50000132 3639621 25
40010469 3609840 26
50000113 3585370 27
40010029 3531707 28
40010529 3513145 29
40010061 3494022 30
40010455 3484392 31
40010014 3456046 32
20010020 3443186 33
40010107 3383540 34
40010448 3353976 35
40010542 3310096 36
40010557 3294467 37
40010146 3283364 38
40010038 3230968 39
40010132 3185053 40
40010160 3182018 40
40010584 3163284 8
30040003 3133503 9
40010550 3112085 9
40010600 3094152 9
40010587 3057958 9
40010003 3002901 10
30030014 2954792 10
40010480 2951838 11
10070007 2949647 11
40010588 2940887 12
40010520 2919559 12
40010157 2908175 13
40010562 2881315 13
40010503 2880146 14
40010300 2863372 14
40010578 2839330 14
40010547 2832369 15
40010601 2829768 16
10020009 2816696 17
40010090 2812005 18
10070008 2776693 19
40010292 2736406 20
40010482 2733401 21
50000025 2719435 22
30030004 2719009 23
40010424 2715290 24
10020008 2680475 25
40010493 2678467 26
50000095 2572371 27
10020005 2543541 28
40010568 2526207 29
50000047 2514697 30
40010589 2485317 31
10020006 2478806 32
40010544 2470520 33
40010034 2459530 34
40010096 2446069 35
40010585 2430635 36
50000012 2425063 37
40010442 2420305 38
40010518 2400046 39
50000005 2379651 40
40010005 2370480 40
10060001 2344863 9
40010291 2337145 9
10020003 2256867 10
40010066 2228992 10
50000106 2223391 11
40010058 2105396 11
10030009 2099860 12
40010430 2093841 12
40010093 2083295 13
40010500 2063397 13
40010184 2036932 14
50000110 2006062 14
50000109 1976170 14
50000098 1961227 15
10030008 1959846 16
40010039 1958174 17
40010085 1947935 18
50000125 1933396 19
40010434 1928100 20
40010506 1923009 21
40010558 1920859 22
40010575 1919932 23
10070019 1911743 24
10020004 1910613 25
10020007 1879346 26
50000135 1853118 27
40010458 1829304 28
40010507 1827025 29
40010100 1808885 30
50000131 1756317 31
40010268 1741200 32
40010462 1732958 33
10030006 1726609 34
40010088 1711194 35
40010484 1710068 36
40010619 1676225 37
40010581 1670847 38
40040007 1646959 39
40010089 1637042 40
40010103 1620041 40
40010148 1613404 10
40010428 1579560 10
50000096 1573347 11
40010579 1520251 11
40010539 1508889 12
20010015 1492999 12
40010182 1484320 13
20010033 1469244 13
10030005 1451627 14
40010012 1450527 14
90000057 1424853 14
40010228 1403267 15
40010078 1388974 16
10030007 1380811 17
40010394 1375944 18
40010608 1373189 19
40010028 1361440 20
10030003 1345303 21
40010059 1344517 22
50000044 1343689 23
40010098 1332032 24
50000021 1299522 25
50000034 1260340 26
50000094 1250964 27
40010515 1244384 28
50000027 1230819 29
40010536 1200325 30
40010470 1199986 31
40010179 1177340 32
40010401 1176245 33
40010582 1170062 34
40010077 1166221 35
40010004 1145627 36
40010080 1138488 37
40010269 1132689 38
40010620 1128390 39
40010346 1124032 40
10070011 1106810 40
40010348 1097774 11
10030014 1091914 11
40010593 1081734 12
40010010 1073179 12
40010498 1072122 13
40010449 1054597 13
50000141 1052018 14
30040001 1045605 14
10050003 1040947 14
40010301 1034133 15
40010459 1033122 16
10070006 1025419 17
10070020 1016871 18
40010095 1013664 19
40010554 1012807 20
