1000 0.500000
0
1
0
Filter @ 0x10a8010
- filter -
size:  1000
error: 0.500000
- bloom -
bit_size:   1443
bit/entry:  1.443000
byte_size:  181
hash_num:   1
entries:    1
50000012 2425063 47
40010442 2420305 48
40010518 2400046 49
50000005 2379651 50
40010005 2370480 50
10060001 2344863 48
40010291 2337145 49
10020003 2256867 50
40010066 2228992 51
50000106 2223391 51
40010058 2105396 49
10030009 2099860 50
40010430 2093841 51
40010093 2083295 52
40010500 2063397 52
40010184 2036932 50
50000110 2006062 51
50000109 1976170 52
50000098 1961227 53
10030008 1959846 53
40010039 1958174 51
40010085 1947935 52
50000125 1933396 53
40010434 1928100 54
40010506 1923009 54
40010558 1920859 52
40010575 1919932 53
10070019 1911743 54
10020004 1910613 55
10020007 1879346 55
50000135 1853118 53
40010458 1829304 54
40010507 1827025 55
40010100 1808885 56
50000131 1756317 56
40010268 1741200 54
40010462 1732958 55
10030006 1726609 56
40010088 1711194 57
40010484 1710068 57
40010619 1676225 55
40010581 1670847 56
40040007 1646959 57
40010089 1637042 58
40010103 1620041 58
40010148 1613404 56
40010428 1579560 57
50000096 1573347 58
40010579 1520251 59
40010539 1508889 59
20010015 1492999 57
40010182 1484320 58
20010033 1469244 59
10030005 1451627 60
40010012 1450527 60
90000057 1424853 58
40010228 1403267 59
40010078 1388974 60
10030007 1380811 61
40010394 1375944 61
40010608 1373189 59
40010028 1361440 60
10030003 1345303 61
40010059 1344517 62
50000044 1343689 62
40010098 1332032 60
50000021 1299522 61
50000034 1260340 62
50000094 1250964 63
40010515 1244384 63
50000027 1230819 61
40010536 1200325 62
40010470 1199986 63
40010179 1177340 64
40010401 1176245 64
40010582 1170062 62
40010077 1166221 63
40010004 1145627 64
40010080 1138488 65
40010269 1132689 65
40010620 1128390 63
40010346 1124032 64
10070011 1106810 65
40010348 1097774 66
10030014 1091914 66
40010593 1081734 64
40010010 1073179 65
40010498 1072122 66
40010449 1054597 67
50000141 1052018 67
30040001 1045605 65
10050003 1040947 66
40010301 1034133 67
40010459 1033122 68
10070006 1025419 68
10070020 1016871 66
40010095 1013664 67
40010554 1012807 68
30030002 1007321 68
50000006 1006992 67
10030004 989588 68
40010115 972835 69
50000030 970828 69
10070018 965095 68
10040001 947355 69
90000006 936499 70
40010158 936410 70
40010551 929480 69
40010456 922996 70
10030013 921025 71
10030012 911562 71
40010273 909282 70
50000092 903872 71
50000033 898218 72
50000108 895583 72
10070009 892521 71
40010488 886752 72
40010563 884427 73
40010024 872522 73
40010476 870460 72
40010207 870150 73
40010429 861475 74
50000003 858136 74
40010638 858002 73
40010497 850438 74
40010020 849761 75
10070010 835695 75
50000020 831169 74
40010206 829440 75
40010351 807185 76
40010042 805138 76
50000008 795482 75
50000026 788355 76
40010134 788051 77
40010447 783994 77
40010045 782562 76
40010524 775488 77
40010452 772799 78
40010116 767416 78
50000053 753307 77
10030015 752197 78
40010094 746958 79
40010501 746075 79
40010208 737940 78
10030017 720629 79
40010091 720601 80
40010378 719091 80
40010056 718874 79
40010067 717866 80
40010485 717006 81
10030018 716836 81
10070004 713169 80
40010284 705858 81
40040006 705000 82
50000037 704506 82
40010087 702422 81
10040002 700028 82
50000017 697754 83
50000019 689735 83
40010609 688939 82
40010151 686321 83
40010290 675434 84
40010644 664297 84
40040008 662402 83
40010064 662255 84
40010443 655785 85
50000009 641751 85
40010017 640319 84
40040002 634344 85
50000002 633900 86
40010425 628343 86
10020002 627783 85
40010171 626975 86
