1000 0.500000
0
1
0
Filter @ 0x117f010
- filter -
size:  1000
error: 0.500000
- bloom -
bit_size:   1443
bit/entry:  1.443000
byte_size:  181
hash_num:   1
entries:    1
50000012 2425063 15
40010442 2420305 15
40010518 2400046 16
50000005 2379651 16
40010005 2370480 17
10060001 2344863 17
40010291 2337145 17
10020003 2256867 18
40010066 2228992 19
50000106 2223391 20
40010058 2105396 21
10030009 2099860 22
40010430 2093841 23
40010093 2083295 23
40010500 2063397 6
40010184 2036932 7
50000110 2006062 8
50000109 1976170 8
50000098 1961227 7
10030008 1959846 8
40010039 1958174 8
40010085 1947935 8
50000125 1933396 9
40010434 1928100 9
40010506 1923009 9
40010558 1920859 9
40010575 1919932 10
10070019 1911743 10
10020004 1910613 10
10020007 1879346 11
50000135 1853118 12
40010458 1829304 13
40010507 1827025 14
40010100 1808885 15
50000131 1756317 16
40010268 1741200 17
40010462 1732958 17
10030006 1726609 7
40010088 1711194 8
40010484 1710068 8
40010619 1676225 8
40010581 1670847 9
40040007 1646959 9
40010089 1637042 9
40010103 1620041 9
40010148 1613404 10
40010428 1579560 10
50000096 1573347 10
40010579 1520251 11
40010539 1508889 12
20010015 1492999 13
40010182 1484320 14
20010033 1469244 15
10030005 1451627 16
40010012 1450527 16
90000057 1424853 8
40010228 1403267 8
40010078 1388974 9
10030007 1380811 9
40010394 1375944 10
40010608 1373189 10
40010028 1361440 10
10030003 1345303 11
40010059 1344517 12
50000044 1343689 13
40010098 1332032 14
50000021 1299522 15
50000034 1260340 16
50000094 1250964 16
40010515 1244384 9
50000027 1230819 9
40010536 1200325 10
40010470 1199986 10
40010179 1177340 10
40010401 1176245 11
40010582 1170062 12
40010077 1166221 13
40010004 1145627 14
40010080 1138488 15
40010269 1132689 16
40010620 1128390 16
40010346 1124032 9
10070011 1106810 10
40010348 1097774 11
10030014 1091914 12
40010593 1081734 13
40010010 1073179 14
40010498 1072122 15
40010449 1054597 16
50000141 1052018 16
30040001 1045605 10
10050003 1040947 11
40010301 1034133 12
40010459 1033122 13
10070006 1025419 14
10070020 1016871 15
40010095 1013664 15
40010554 1012807 11
30030002 1007321 12
50000006 1006992 13
10030004 989588 14
40010115 972835 15
50000030 970828 15
10070018 965095 12
10040001 947355 13
90000006 936499 14
40010158 936410 15
40010551 929480 15
40010456 922996 13
10030013 921025 14
10030012 911562 15
40010273 909282 15
50000092 903872 14
50000033 898218 15
50000108 895583 15
10070009 892521 15
40010488 886752 15
40010563 884427 16
40010024 872522 16
40010476 870460 17
40010207 870150 17
40010429 861475 17
50000003 858136 18
40010638 858002 19
40010497 850438 20
40010020 849761 21
10070010 835695 22
50000020 831169 23
40010206 829440 23
40010351 807185 7
40010042 805138 8
50000008 795482 8
50000026 788355 8
40010134 788051 9
40010447 783994 9
40010045 782562 9
40010524 775488 9
40010452 772799 10
40010116 767416 10
50000053 753307 10
10030015 752197 11
40010094 746958 12
40010501 746075 13
40010208 737940 14
10030017 720629 15
40010091 720601 16
40010378 719091 16
40010056 718874 8
40010067 717866 8
40010485 717006 9
10030018 716836 9
10070004 713169 10
40010284 705858 10
40040006 705000 10
50000037 704506 11
40010087 702422 12
10040002 700028 13
50000017 697754 14
50000019 689735 15
40010609 688939 16
40010151 686321 16
40010290 675434 9
40010644 664297 9
40040008 662402 10
40010064 662255 10
40010443 655785 10
50000009 641751 11
40010017 640319 12
40040002 634344 13
50000002 633900 14
40010425 628343 15
10020002 627783 16
40010171 626975 16
40010509 625554 9
40010055 625552 10
40010302 611361 11
40010193 603730 12
10070005 599887 13
40010602 587297 14
40010257 584490 15
40010521 579463 16
40010548 578668 16
40010560 572538 10
40010576 570963 11
40010263 566444 12
40010135 558817 13
50000104 556977 14
40010037 553913 15
40010537 549317 15
40010621 544545 11
40010082 538270 12
40010054 538257 13
40010486 535650 14
50000128 535284 15
40010564 534578 15
40010267 532477 12
40040003 532361 13
40010106 522328 14
40010626 518967 15
50000107 518658 15
40010166 512597 13
10050002 503310 14
40010043 502633 15
10030016 498535 15
40010030 492720 14
40010590 491512 15
40010594 482986 15
40010083 473908 15
40010530 472818 15
40010636 471926 16
40010522 470748 16
40040004 468254 17
30020003 467762 17
10030002 466475 17
40040009 463484 18
40010008 457643 19
30040007 457174 20
40010119 451247 21
50000089 449983 22
20010009 443451 23
40010573 442677 23
50000032 437549 8
40010471 436098 8
40010276 435780 9
40010358 433267 9
40010453 433076 10
10070017 430962 10
40010395 425640 10
50000115 424696 11
40010168 416264 12
40010333 413390 13
50000087 413297 14
40010540 412581 15
90000002 405444 16
40010019 397931 16
40010123 395447 9
50000022 395425 9
40010046 390181 9
50000007 386264 10
40010328 385655 11
40010022 384383 12
50000097 384265 13
40010555 383768 14
50000112 379528 15
40010233 373847 16
50000071 369088 16
40010073 368924 9
40010072 368924 10
40010071 368924 11
10070023 356950 12
40010641 356737 13
40010040 353687 14
30040006 346872 15
40010272 342759 16
50000076 340652 16
40010396 334101 10
40010415 333645 11
10070021 333587 12
40010074 331129 13
10070012 326215 14
40010172 322166 15
40010610 320761 15
40010210 314953 11
40040005 312381 12
40010229 311142 13
50000124 306843 14
40010419 301877 15
40010251 301490 15
40040010 299600 12
10070022 299167 13
40010569 287759 14
40010494 286102 15
40010489 283584 15
40010603 280156 13
40010408 278647 14
10070016 276126 15
