1000 0.500000
0
1
0
Filter @ 0x8ae010
- filter -
size:  1000
error: 0.500000
- bloom -
bit_size:   1443
bit/entry:  1.443000
byte_size:  181
hash_num:   1
entries:    1
50000012 2425063 10
40010442 2420305 10
40010518 2400046 10
50000005 2379651 10
40010005 2370480 10
10060001 2344863 10
40010291 2337145 9
10020003 2256867 10
40010066 2228992 10
50000106 2223391 10
40010058 2105396 10
10030009 2099860 10
40010430 2093841 10
40010093 2083295 9
40010500 2063397 10
40010184 2036932 10
50000110 2006062 10
50000109 1976170 10
50000098 1961227 10
10030008 1959846 10
40010039 1958174 9
40010085 1947935 10
50000125 1933396 10
40010434 1928100 10
40010506 1923009 10
40010558 1920859 10
40010575 1919932 10
10070019 1911743 9
10020004 1910613 10
10020007 1879346 10
50000135 1853118 10
40010458 1829304 10
40010507 1827025 10
40010100 1808885 10
50000131 1756317 9
40010268 1741200 10
40010462 1732958 10
10030006 1726609 10
40010088 1711194 10
40010484 1710068 10
40010619 1676225 10
40010581 1670847 9
40040007 1646959 10
40010089 1637042 10
40010103 1620041 10
40010148 1613404 10
40010428 1579560 10
50000096 1573347 10
40010579 1520251 9
40010539 1508889 10
20010015 1492999 10
40010182 1484320 10
20010033 1469244 10
10030005 1451627 10
40010012 1450527 10
90000057 1424853 9
40010228 1403267 10
40010078 1388974 10
10030007 1380811 10
40010394 1375944 10
40010608 1373189 10
40010028 1361440 10
10030003 1345303 9
40010059 1344517 10
50000044 1343689 10
40010098 1332032 10
50000021 1299522 10
50000034 1260340 10
50000094 1250964 10
40010515 1244384 9
50000027 1230819 10
40010536 1200325 10
40010470 1199986 10
40010179 1177340 10
40010401 1176245 10
40010582 1170062 10
40010077 1166221 9
40010004 1145627 10
40010080 1138488 10
40010269 1132689 10
40010620 1128390 10
40010346 1124032 10
10070011 1106810 10
40010348 1097774 9
10030014 1091914 10
40010593 1081734 10
40010010 1073179 10
40010498 1072122 10
40010449 1054597 10
50000141 1052018 10
30040001 1045605 9
10050003 1040947 10
40010301 1034133 10
40010459 1033122 10
10070006 1025419 10
10070020 1016871 10
40010095 1013664 10
40010554 1012807 9
30030002 1007321 10
50000006 1006992 10
10030004 989588 10
40010115 972835 10
50000030 970828 10
10070018 965095 10
10040001 947355 9
90000006 936499 10
40010158 936410 10
40010551 929480 10
40010456 922996 10
10030013 921025 10
10030012 911562 10
40010273 909282 9
50000092 903872 10
50000033 898218 10
50000108 895583 10
10070009 892521 10
40010488 886752 10
40010563 884427 10
40010024 872522 9
40010476 870460 10
40010207 870150 10
40010429 861475 10
50000003 858136 10
40010638 858002 10
40010497 850438 10
40010020 849761 9
10070010 835695 10
50000020 831169 10
40010206 829440 10
40010351 807185 10
40010042 805138 10
50000008 795482 10
50000026 788355 10
40010134 788051 10
40010447 783994 10
40010045 782562 10
40010524 775488 10
40010452 772799 10
40010116 767416 10
50000053 753307 10
10030015 752197 9
40010094 746958 10
40010501 746075 10
40010208 737940 10
10030017 720629 10
40010091 720601 10
40010378 719091 10
40010056 718874 9
40010067 717866 10
40010485 717006 10
10030018 716836 10
10070004 713169 10
40010284 705858 10
40040006 705000 10
50000037 704506 9
40010087 702422 10
10040002 700028 10
50000017 697754 10
50000019 689735 10
40010609 688939 10
40010151 686321 10
40010290 675434 9
40010644 664297 10
40040008 662402 10
40010064 662255 10
40010443 655785 10
50000009 641751 10
40010017 640319 10
40040002 634344 9
50000002 633900 10
40010425 628343 10
10020002 627783 10
40010171 626975 10
40010509 625554 10
40010055 625552 10
40010302 611361 9
40010193 603730 10
10070005 599887 10
40010602 587297 10
40010257 584490 10
40010521 579463 10
40010548 578668 10
40010560 572538 9
40010576 570963 10
40010263 566444 10
40010135 558817 10
50000104 556977 10
40010037 553913 10
40010537 549317 10
40010621 544545 9
40010082 538270 10
40010054 538257 10
40010486 535650 10
50000128 535284 10
40010564 534578 10
40010267 532477 10
40040003 532361 9
40010106 522328 10
40010626 518967 10
50000107 518658 10
40010166 512597 10
10050002 503310 10
40010043 502633 10
10030016 498535 9
40010030 492720 10
40010590 491512 10
40010594 482986 10
40010083 473908 10
40010530 472818 10
40010636 471926 10
40010522 470748 9
40040004 468254 10
30020003 467762 10
10030002 466475 10
40040009 463484 10
40010008 457643 10
30040007 457174 10
40010119 451247 9
50000089 449983 10
20010009 443451 10
40010573 442677 10
50000032 437549 10
40010471 436098 10
40010276 435780 10
40010358 433267 9
40010453 433076 10
10070017 430962 10
40010395 425640 10
50000115 424696 10
40010168 416264 10
40010333 413390 10
50000087 413297 9
40010540 412581 10
90000002 405444 10
40010019 397931 10
40010123 395447 10
50000022 395425 10
40010046 390181 10
50000007 386264 9
40010328 385655 10
40010022 384383 10
50000097 384265 10
40010555 383768 10
50000112 379528 10
40010233 373847 10
50000071 369088 9
40010073 368924 10
40010072 368924 10
40010071 368924 10
10070023 356950 10
40010641 356737 10
40010040 353687 10
30040006 346872 9
40010272 342759 10
50000076 340652 10
40010396 334101 10
40010415 333645 10
10070021 333587 10
40010074 331129 10
10070012 326215 9
40010172 322166 10
40010610 320761 10
40010210 314953 10
40040005 312381 10
40010229 311142 10
50000124 306843 10
40010419 301877 9
40010251 301490 10
40040010 299600 10
10070022 299167 10
40010569 287759 10
40010494 286102 10
40010489 283584 10
40010603 280156 9
40010408 278647 10
10070016 276126 10
30020010 275588 10
40010060 274622 10
40010405 271160 10
50000127 270064 10
30020018 268901 9
40010205 266487 10
30040004 264682 10
50000039 263922 10
40010552 262581 10
40010359 260423 10
40010097 260211 10
40010239 260203 9
50000018 255771 10
40010191 254210 10
40010320 251151 10
90000003 248889 10
40040012 246899 10
40010025 242854 10
40010015 240731 9
40010545 239884 10
40010426 237044 10
40010070 232511 10
40010018 231127 10
50000116 227123 10
40040011 225251 10
40010023 225116 9
40010431 222452 10
40010400 216739 10
40010637 213882 10
20010016 212746 10
40010399 209732 10
10040003 209237 10
40010347 205610 9
40010307 203468 10
50000016 200802 10
40010033 199584 10
40010411 199300 10
40010525 197244 10
40010362 195049 10
40010026 194908 9
40010349 194805 10
10070003 194063 10
40010611 193776 10
20010023 193613 10
40010266 193034 10
40010450 192458 10
30020014 189534 9
40010549 187074 10
10020001 185726 10
40010561 184544 10
50000091 181753 10
40010121 181093 10
50000041 180568 10
40010403 180313 9
40010294 179561 10
40010092 177544 10
40010510 173865 10
40010011 173323 10
40010250 171865 10
40010235 170560 10
40010178 169130 9
40010254 163638 10
40010444 161763 10
10030011 161308 10
40010295 159593 10
50000029 159245 10
40010337 154967 10
40010261 154496 9
50000038 154032 10
40010007 151360 10
40010414 146965 10
40010631 146201 10
30020015 143584 10
40010138 143058 10
40010270 142845 9
40010319 141578 10
50000015 138321 10
40010209 136082 10
30020019 134853 10
40010177 134142 10
40010167 133255 10
40010232 133157 10
40010225 132257 10
50000013 128787 10
40010418 127666 10
50000059 125229 10
10070024 124707 10
40010299 123918 10
10030001 123302 10
10070002 123004 9
90000004 121804 10
40010245 121272 10
50000031 119588 10
40010246 117064 10
40010016 114256 10
40010226 114207 10
40010174 113611 9
40010006 113153 10
50000120 110664 10
40010013 110628 10
40010326 109135 10
40010111 106377 10
40010331 106258 10
40010629 104108 9
40010432 103885 10
40010188 103652 10
40010275 102626 10
40010417 102110 10
40010185 97212 10
40010416 93971 10
50000014 92359 9
40010199 92203 10
40010495 92051 10
40010298 92003 10
40010591 91606 10
40010279 91517 10
40010230 89552 10
40010477 87116 9
40010212 84787 10
40010649 83791 10
50000001 83201 10
30020011 83015 10
40010216 82784 10
40010214 75320 10
40010143 72725 9
40010069 71855 10
40010615 71494 10
40010546 68886 10
40010516 68485 10
40010435 67912 10
40010186 67535 10
50000101 67483 9
10030010 62424 10
10070014 62198 10
40010192 61758 10
10070015 58798 10
40010397 58605 10
40010519 56081 10
40010213 54397 9
40010283 54165 10
40010404 53175 10
40010187 52369 10
40010297 51113 10
40010632 50703 10
40010068 48582 10
40010616 48484 9
50000042 48328 10
40010217 48018 10
40010625 46996 10
50000130 46794 10
50000070 45619 10
40010634 45020 10
50000036 44382 9
40010406 44219 10
40010322 41336 10
40010223 41070 10
40010150 40597 10
40010635 38552 10
40010341 37605 10
40010102 36801 9
50000004 35485 10
40010308 35023 10
40010612 34865 10
40010334 34450 10
40010648 33704 10
50000060 32715 10
40010330 32271 9
50000028 31649 10
40010627 31255 10
40010327 31225 10
50000024 30303 10
40010249 29874 10
50000011 29433 10
40010200 28343 9
40010274 27658 10
10040004 27221 10
30020004 26995 10
40010335 26981 10
30020008 26813 10
40010224 26791 10
30020012 26738 9
40010075 25906 10
40010329 25652 10
40010264 24225 10
40010647 24107 10
40010630 23217 10
40010646 22480 10
50000023 22180 9
40010296 21773 10
40010360 20924 10
40010035 20883 10
40010202 20752 10
40010345 20376 10
40010363 20291 10
40010282 19294 9
90000005 18409 10
40010645 18302 10
40010244 18198 10
40010386 17924 10
40010321 17760 10
40010189 16924 10
50000072 16851 9
40010340 15877 10
40010219 15821 10
40010385 14720 10
40010306 14614 10
50000040 14186 10
40010190 13973 10
40010534 13391 9
30020013 13357 10
50000010 12973 10
40010309 12961 10
40010409 12569 10
40010310 12423 10
50000140 12333 10
10060002 11709 9
40010313 11676 10
40010194 10973 10
40010243 10881 10
40010410 10610 10
40010173 10597 10
40010315 10480 10
40010220 10104 9
40010175 9938 10
50000035 8977 10
40010197 8785 10
40010084 8344 10
40010063 8129 10
40010613 7933 10
40010076 7857 9
40010366 7497 10
40010633 7466 10
40010231 6796 10
40010285 6615 10
40010407 6084 10
40010081 6029 10
40010281 5899 9
40010370 5754 10
30020017 5146 10
40010204 5143 10
40010278 5011 10
40010305 4820 10
40010623 4761 10
40010196 4744 9
40010147 4499 10
40010398 4317 10
40010277 4261 10
40010332 4091 10
40010221 4007 10
30020006 3830 10
40010248 3774 9
40010169 3521 10
40010215 3513 10
40010218 3233 10
40010483 3094 10
40010614 2688 10
50000136 2603 10
40010036 2458 9
40010570 2173 10
40010392 2161 10
40010617 2031 10
40010504 2014 10
40010104 2007 10
40010323 1794 10
40010203 1699 9
40010201 1644 10
40010227 1624 10
40010252 1435 10
40010280 1408 10
40010145 1353 10
40010618 1266 10
40010316 1196 9
30040005 1196 10
30020009 967 10
40010642 889 10
40010304 871 10
50000075 756 10
40010149 702 10
40010195 651 9
40010371 598 10
40010240 572 10
40010368 554 10
50000043 430 10
40010388 374 10
40010198 354 10
40010383 262 9
40010260 180 10
40010344 171 10
40010259 121 10
10070001 98 10
40010531 85 10
40010381 75 10
10070013 53 9
40010222 40 10
50000074 38 10
40010643 31 10
40010650 29 10
40010286 29 10
40010311 18 10
40010374 17 9
40010364 13 10
40010247 13 10
40010373 10 10
40010312 9 10
40010384 5 10
40010325 4 10
40010393 3 10
40010361 3 10
50000061 2 10
40010387 2 10
40010336 2 10
40010375 1 10
40010367 1 10
40010343 1 10
